Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,Difference
USA,MA,2017,8,Female,14,Right-Handed,177.8,24.13,170.8,2,Car,7,0.275,53,Hockey (Ice),75,87,95,50,35,35,24.13,Same length,76.2,70,Index finger,May,Winter,Yes,No,Salads,Water,Geography,8.5,10.5,6,Yes - broadband connection,Text messaging,20,30,2,0,6,3,3,0,5,3,5,3,2,.5,A lot,Graduate degree,Pop,Telepathy,Healthy,Sports person,Health,7.0
USA,AL,2023,12,Male,17,Right-Handed,170.0,22.5,163.0,2,Car,15,0.294,34,Other,861,508,767,1000,791,610,22.5,Same length,60,74,Ring finger,January,Summer,No,No,No favorite,Water,Other,6.5,8,5,Yes - other,Text messaging,30,25,0,25,6,20,15,5,10,3,10,2,35,4,Very little,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Relative,International aid,7.0
USA,MA,2022,6,Female,11,Right-Handed,162.0,23,155.0,1,Bus,15,0.376,43,Hockey (Ice),850,790,650,650,900,850,23,Same length,70,70,Same length,June,Summer,No,No,Desserts,Water,Art,9,6,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",30,30,12,5,2,4,8,1,10,2,16,6,0,2,Some,Some college,Pop,Freeze time,Happy,Other,"Wildlife, animals",7.0
USA,MA,2015,8,Female,13,Right-Handed,149.0,150,142.0,3,Bus,30,0.42,46,Gymnastics,400,400,100,100,900,1000,21,Same length,80,50,Index finger,June,Summer,Yes,No,No favorite,Water,Physical education,6,9,4,Yes - other,Text messaging,600,500,0,0,10,1,0,0,3,20,20,4,0,1,A lot,Graduate degree,Pop,Invisibility,Rich,Sports person,Health,7.0
USA,MA,2014,6,Female,11,Left-Handed,160.0,23,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
USA,MA,2019,12,Female,17,Right-Handed,157.0,24,150.0,1,Car,15,0.506,62,Swimming,1000,1000,500,800,300,1000,24,Same length,70,60,Index finger,May,Summer,Yes,No,Pizza/Pasta,Water,Science,7.5,9,4,Yes - other,Text messaging,150,150,35,2,19,7,7,0,21,21,10,3,30,5,A lot,Undergraduate degree,Rap/Hip hop,Fly,Healthy,Relative,Environment,7.0
USA,AL,2015,12,Female,17,Right-Handed,170.0,27,163.0,1,Car,15,0.826,46,Baseball/Softball,,,,,,,27,Same length,6.5,7.5,Ring finger,January,Fall,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Science,7,12,4,Yes - broadband connection,Text messaging,500,500,10,1,2,5,15,0,20,80,10,10,0,5,Some,Graduate degree,Country,Telepathy,Healthy,Relative,Health,7.0
USA,FL,2016,11,Female,15,Right-Handed,171.0,24,164.0,2,Car,10,0.301,44.0,Baseball/Softball,786.0,781.0,807.0,738.0,390.0,567.0,24,Same length,75.0,75,Same length,October,Fall,No,No,Fruit,Water,Science,7.5,10,5,Yes - other,Text messaging,24,21,10,14,5,14,10,0.0,14.0,21,7,2,0.0,7.0,A lot,Graduate degree,Gospel,Telepathy,Happy,Religious figure,"Wildlife, animals",7.0
USA,FL,2015,7,Male,12,Right-Handed,152.0,95,145.0,2,,15,1.045,45.0,Football (American),500.0,800.0,745.0,400.0,1000.0,1000.0,95,Same length,3.0,3.00,Same length,July,Winter,No,No,Seafood,Water,Social studies,8,7,5 ,Yes - other,Internet chat or instant messaging,0,3,10,3,4,1,3,8.0,2.0,3,6,1,2.0,5.0,Some,Other,Rap/Hip hop,Fly,Rich,Coach or club leader,Health,7.0
USA,FL,2011,12,Female,17,Right-Handed,163.0,24.4,156.0,1,Car,15,0.247,36.0,,647.0,529.0,733.0,,1000.0,1000.0,24.4,Same length,8.0,7.25,Index finger,May,Winter,No,No,Seafood,Milk,Music,7,10,3,Yes - broadband connection,Text messaging,4,10,12,2,7,5,0,1.5,4.0,7,12,1,0.0,8.0,Some,Undergraduate degree,Rock and roll,Fly,Healthy,Musician or singer,International aid,7.0
USA,FL,2019,11,Male,16,Right-Handed,178.0,29,171.0,2,Car,35,0.78,51.0,Soccer,1000.0,1000.0,900.0,700.0,200.0,600.0,27,Right foot,100.0,100,Ring finger,April,Spring,No,No,Meat,Water,Other,6,10,5,Yes - broadband connection,In person,20,20,50,3,10,100,15,4.0,3.0,1,6,6,0.0,2.0,A lot,Graduate degree,Other,Telepathy,Happy,Business person,Health,7.0
USA,AL,2015,12,Male,17,Right-Handed,182.9,30.75,176.0,1,Car,12,.629,37,Football (American),,,,,,,30.48,Right foot,99,120,Ring finger,September,Summer,No,No,No favorite,Sports drink,History,8,10,3,Yes - broadband connection,Text messaging,30,25,10,2,4,8,12,30,15,5,7,10,0,2,A lot,Graduate degree,Country,Fly,Famous,Sports person,"Arts, culture, sports",6.900000000000006
USA,MA,2023,12,Male,17,Left-Handed,167.0,25.1,160.3,2,Bus,45,0.505,40,Martial Arts,674,155,492,845,440,604,25.2,Left foot,,,Ring finger,October,Fall,Yes,No,Meat,Water,English,5,9,5,Yes - broadband connection,Internet chat or instant messaging,1,6,20,13,3,30,9,26,3,5,28,10,5,3,,Graduate degree,Heavy metal,Freeze time,Rich,Other,Religious,6.699999999999989
USA,MA,2018,12,Female,17,Right-Handed,170.0,21.65,163.5,2,Bus,15,0.711,46,Baseball/Softball,1000,1000,925,941,326,219,21.56,Right foot,30,40,Ring finger,August,Winter,Yes,No,No favorite,Water,History,7,9,2,Yes - other,Text messaging,10,15,5,0,5,8,2,0,3,5,3,3,0,3,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Relative,"Arts, culture, sports",6.5
USA,AL,2023,12,Female,17,Right-Handed,156.2,34.29,149.8,1,Car,27,1.086,37,,1000,900,1000,1000,900,1000,22.86,Right foot,72.5,71.5,Ring finger,August,Fall,Yes,No,Pizza/Pasta,Water,English,5,9,3,Yes - other,Internet chat or instant messaging,12,46,5,7,15,9,0,7,3,16,16,7,0,7,Some,Graduate degree,Pop,Freeze time,Happy,Relative,Environment,6.399999999999977
USA,MA,2023,10,Female,15,Right-Handed,179.0,23,172.7,1,Bus,3,.44,31,Other,973,602,488,702,508,632,24,Left foot,70,76,Ring finger,July,Summer,Yes,No,Pizza/Pasta,Water,Art,8,10,3,Yes - broadband connection,Cell phone,6,8,5,2,10,5,6,0,15,1,4,7,0,3,Some,Undergraduate degree,Pop,Fly,Happy,Actor,Environment,6.300000000000011
USA,MA,2020,12,Female,18,Right-Handed,170.0,24.13,163.8,1,Car,10,.364,43,Dancing,476,1000,299,1000,1000,947,25.8,Left foot,75,71,,February,Summer,No,No,Fruit,Water,Social studies,5,6,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,100,12,4,14,3,6,0,6,15,28,3,2,0,Some,Graduate degree,Country,Invisibility,Happy,Relative,International aid,6.199999999999989
USA,AL,2022,12,Female,18,Right-Handed,162.0,23.5,156.0,1,Car,15,0.427,41,Other,59,219,16,27,1000,1000,23.4,Right foot,63.5,70,Ring finger,December,Summer,No,No,Seafood,Water,History,5,8,3,Yes - other,Cell phone,150,150,12,5,0,1,0,0,30,25,30,6,10,1,Very little,Undergraduate degree,Pop,Telepathy,Rich,Relative,Health,6.0
USA,MA,2017,8,Male,14,Right-Handed,169.0,25,163.0,2,Bicycle,10,.261,46,Soccer,1000,900,450,650,900,1000,24,Right foot,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
USA,FL,2016,11,Male,17,Right-Handed,175.0,26,169.0,1,Walk,10,0.797,50.0,Walking/Hiking,536.0,530.0,626.0,530.0,425.0,516.0,26,Same length,90.0,90,Same length,November,Winter,No,No,No favorite,Water,Other,9,9,5,Yes - other,In person,0,0,5,0,3,2,2,3.0,4.0,1,3,3,0.0,5.0,Some,Other,Other,Fly,Happy,Relative,International aid,6.0
USA,AL,2022,12,Male,18,Right-Handed,156.0,27.5,150.0,1,Car,15,0.527,56,Running/Jogging,1000,1000,1000,1000,1000,1000,27.5,Same length,60,70,Ring finger,September,Fall,No,No,Pizza/Pasta,Water,History,8,6,4,Yes - broadband connection,In person,0,0,20,1,3,5,15,20,6,1,4,0,0,3,Very little,Graduate degree,Punk rock,Fly,Happy,Other,Health,6.0
USA,MA,2017,6,Female,12,Right-Handed,149.0,22,143.0,1,Car,8,0.414,44,Other,1000,866,941,957,599,781,22,Same length,750,650,Index finger,May,Spring,Yes,No,Rice/Noodle dishes,Water,English,9,12,5,Yes - broadband connection,In person,112,305,30,0,15,17,2,3,0,7,20,7,0,1,A lot,Graduate degree,Techno/Electronic,Invisibility,Healthy,Relative,"Wildlife, animals",6.0
USA,FL,2010,12,Female,17,Right-Handed,177.0,24,171.0,1.367,Car,40,0.44,,Soccer,650.0,650.0,650.0,,700.0,950.0,23.5,Right foot,9.5,9.5,Same length,February,Winter,Yes,No,Pizza/Pasta,Water,History,5,12,2,Yes - broadband connection,Text messaging,60,65,10,.1,3,5,14,1.0,10.0,10,12,5,0.0,1.0,A lot,Graduate degree,Punk rock,Telepathy,Happy,Friend,Education/Youth development,6.0
USA,FL,2019,12,Female,18,Right-Handed,160.0,22.4,154.0,1,Car,10,0.692,67.0,Dancing,800.0,700.0,700.0,600.0,1000.0,1000.0,21.3,Right foot,84.0,85,Ring finger,February,Spring,Yes,No,Pizza/Pasta,Water,Geography,6,7,4,Yes - other,Text messaging,10,8,2,1,20,30,10,0.0,8.0,12,24,5,0.0,0.0,A lot,High school,Pop,Fly,Happy,Relative,"Arts, culture, sports",6.0
USA,FL,2015,7,Female,12,Right-Handed,158.0,100,152.0,1,Car,18,1.256,41.0,Soccer,60.0,100.0,200.0,80.0,0.0,5.0,90,Right foot,,,Ring finger,January,Fall,No,No,Seafood,Water,Other,7,6,4,Yes - other,Internet chat or instant messaging,4,4,10,1,3,5,6,0.0,2.0,2,0,2,0.0,1.0,Very little,Graduate degree,Country,Fly,Happy,Sports person,Health,6.0
USA,MA,2016,12,Female,17,Right-Handed,174.0,24,168.0,2,Walk,25,,,Baseball/Softball,1000,900,650,1000,100,200,25,Left foot,90,80,Index finger,February,Winter,Yes,No,Seafood,Water,Art,8.5,10.5,4,Yes - broadband connection,Text messaging,15,16,25,.5,5,10,3,0,15,3,5,20,4,3,Some,Undergraduate degree,Other,Fly,Happy,,"Arts, culture, sports",6.0
USA,AL,2022,12,Female,17,Right-Handed,167.0,22,161.0,1,Car,10,0.319,36,Martial Arts,1000,604,620,968,155,428,22,Same length,87,91,Index finger,August,Fall,No,No,No favorite,Milk,Science,6,12,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,38,10,2,10,4,0,4,35,1,56,0,20,2,A lot,Graduate degree,Other,Invisibility,Happy,Friend,"Wildlife, animals",6.0
USA,FL,2018,12,Female,16,Right-Handed,172.0,8,166.0,3,Car,15,0.48,47.0,Athletics,1000.0,845.0,1000.0,1000.0,300.0,300.0,8,Same length,40.0,45,Ring finger,June,Fall,Yes,No,Meat,Water,Music,6,9,5,Yes - other,Text messaging,30,40,18,3,12,10,22,1.0,3.0,3,5,10,3.0,3.0,A lot,Undergraduate degree,Pop,Invisibility,Happy,Musician or singer,International aid,6.0
USA,AL,2022,12,Female,18,Right-Handed,167.0,21,161.0,1,Car,20,0.755,15,Walking/Hiking,1000,567,543,586,789,800,21,Same length,6.5,7,Ring finger,January,Summer,No,No,Poultry,Soft drink (caffeinated),Social studies,6,10,4,Yes - other,In person,150,150,15,5,1,5,0,0,24,2,24,5,0,3,Some,Graduate degree,Rap/Hip hop,Telepathy,Famous,Politician,International aid,6.0
USA,FL,2018,12,Female,16,Right-Handed,173.0,25,167.0,1,Car,5,0.287,34.0,Other,1000.0,800.0,900.0,900.0,400.0,800.0,25,Same length,80.0,85,Ring finger,March,Fall,No,No,Pizza/Pasta,Water,Art,6,10,4,Yes - other,Text messaging,83,85,3,1,6,9,6,8.0,20.0,8,2,2,15.0,4.0,Some,Graduate degree,Pop,Fly,Happy,Doctor or nurse,"Wildlife, animals",6.0
USA,MA,2021,12,Male,18,Right-Handed,180.0,29,174.0,2,Bus,30 ,0.451,74,Martial Arts,251,96,283,11,882,1000,29,Same length,8,8,Same length,August,Fall,Yes,No,Pizza/Pasta,Water,English,6,8,4,Yes - broadband connection,In person,a lot,MORE,20,40,0,5,15,30,60,yes,all,3,35,5,A lot,High school,Jazz,Fly,Happy,Actor,Health,6.0
USA,FL,2011,5,Female,10,Right-Handed,146.0,21,140.0,2,Car,20,0.406,79.0,Other,909.0,1000.0,1000.0,,32.0,11.0,21,Same length,6.0,7,Ring finger,February,Summer,Yes,No,Meat,Juice,Physical education,11,10,5,Yes - broadband connection,In person,0,0,8,0,1,5,3,0.0,0.0,0,0,4,0.0,2.0,Some,Other,Gospel,Fly,Healthy,Musician or singer,"Wildlife, animals",6.0
USA,FL,2020,12,Male,18,Left-Handed,187.0,27.5,181.0,1,Car,30,0.378,30.0,Tennis,600.0,600.0,600.0,700.0,300.0,800.0,27.33,Right foot,95.0,105,Ring finger,November,Summer,No,No,Meat,Water,Physical education,8,8,4,Yes - broadband connection,Cell phone,7,10,40,,,,,,,,,,,,,,,,,,,6.0
USA,MA,2015,12,Female,18,Right-Handed,175.0,24,169.0,3,Car,7,.362,33,Soccer,1000,914,1000,684,321,535,23,Right foot,7.5,8,Ring finger,December,Fall,Yes,No,Fruit,Water,English,7,9,3,Yes - other,Text messaging,30,25,2,.2,6,.4,1.5,0,1,1,6,4,4,.4,A lot,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Other,International aid,6.0
USA,MA,2017,8,Female,13,Right-Handed,165.0,20,159.0,2,Car,15 ,0.972,30,Other,900,800,1000,900,0,600,19,Right foot,8,8,Same length,October,Spring,Yes,No,Salads,Water,,8,10,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",103,3809,9,12,5,9,7,3,17,20,20,7,4,4,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Health,6.0
USA,FL,2013,11,Female,16,Right-Handed,168.0,22,162.0,2,Bus,10,0.11,32.0,Running/Jogging,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,22,Same length,74.0,70,Index finger,January,Fall,No,No,No favorite,Water,Mathematics and statistics,6,9,5,Yes - other,Text messaging,50,50,10,1,15,5,7,0.0,5.0,25,3,1,0.0,1.0,A lot,Graduate degree,Other,Telepathy,Happy,Relative,International aid,6.0
USA,AL,2022,12,Female,18,Right-Handed,170.0,27,164.0,1,Car,27,.378,51,Baseball/Softball,700,500,900,850,250,800,27,Same length,750,800,Ring finger,November,Spring,No,No,Poultry,Water,Science,6,8,4,Yes - other,Text messaging,22,25,2,6,6,20,40,0,20,5,20,1,0,2,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,Health,6.0
USA,FL,2010,11,Male,16,Ambidextrous,188.0,30,182.0,2,Bus,60,0.224,0.29,Football (American),882.0,422.0,551.0,,604.0,578.0,30,Same length,762.0,826,Ring finger,November,Winter,No,No,Meat,Water,Other,6,12,2,Yes - broadband connection,In person,35,40,20,4,8,14,14,2.0,21.0,28,21,2,14.0,4.0,,Undergraduate degree,Pop,Super strength,Happy,Friend,Health,6.0
USA,MA,2019,12,Female,17,Right-Handed,156.0,21.1,150.0,2,Walk,5,.571,51,Baseball/Softball,1000,9000,8000,5000,1000,1000,20.6,Right foot,65,69,Ring finger,August,Fall,No,No,No favorite,Water,English,6,8,3,Yes - broadband connection,Cell phone,8,11,10,30,35,5,0,0,40,2,50,15,18,30,A lot,High school,Punk rock,Invisibility,Happy,Doctor or nurse,International aid,6.0
USA,AL,2015,12,Female,17,Right-Handed,158.0,24,152.0,1,Car,7,.745,50,Running/Jogging,,,,,,,27,Right foot,65,75,Ring finger,June,Summer,Yes,No,Salads,Water,Art,6,7,2,Yes - other,Text messaging,250,200,4,1,8,1,5,0,5,20,2,0,7,3,A lot,Graduate degree,Rap/Hip hop,Fly,Healthy,Other,International aid,6.0
USA,MA,2022,12,Female,17,Right-Handed,163.0,27,157.0,2,Car,5,0.384,51,Dancing,385,444,642,364,791,845,28,Left foot,80,70,Index finger,July,Fall,No,No,Rice/Noodle dishes,Coffee,Other,4,6,4,Yes - broadband connection,Other,60,30,40,2,15,5,4,0,8,6,4,9,52,3,Some,Graduate degree,Pop,Invisibility,Happy,Doctor or nurse,Health,6.0
USA,MA,2017,12,Female,17,Right-Handed,163.0,24,157.0,1,Car,16,.6,45,Other,1000,900,800,1000,150,150,25,Left foot,86,89,Ring finger,June,Fall,No,No,Meat,Soft drink (caffeinated),History,9,10,3,Yes - broadband connection,Text messaging,0,0,2,1,6,12,9,6,8,.5,14,7,0,1.5,A lot,Other,Rap/Hip hop,Fly,Happy,Musician or singer,"Wildlife, animals",6.0
USA,AL,2022,12,Male,18,Ambidextrous,170.0,32,164.0,1,Car,7,0.706,56,Hockey (Ice),150,150,500,250,500,1000,32,Same length,70,76,Ring finger,September,Winter,Yes,No,Seafood,Juice,History,6,8,5,Yes - other,Cell phone,3,4,3,1,0,2,2,1,4,1,0,1,0,1,A lot,Some college,Country,Invisibility,Famous,Musician or singer,Education/Youth development,6.0
USA,FL,2018,12,Female,17,Right-Handed,158.0,24,152.0,1,Car,10,0.416,32.0,Other,663.0,503.0,652.0,439.0,209.0,107.0,25,Left foot,80.0,80,Same length,February,Fall,Yes,No,No favorite,Water,Science,7,9,3,Yes - other,In person,100,120,12,8,5,3,4,0.0,7.0,7,4,2,24.0,2.0,Some,Graduate degree,Country,Telepathy,,Teacher,Education/Youth development,6.0
USA,FL,2015,7,Female,12,Right-Handed,158.0,100,152.0,1,Car,18,1.256,82.0,Soccer,1000.0,50.0,100.0,190.0,0.0,0.0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
USA,FL,2014,12,Male,17,Right-Handed,188.0,27.3,182.5,2,Car,15,0.324,36.0,Basketball,750.0,800.0,775.0,900.0,800.0,900.0,27.3,Same length,75.4,75.2,Index finger,March,Summer,No,No,Pizza/Pasta,Water,Science,8,5,4,Yes - other,Cell phone,10,7,10,10,10,15,4,6.0,7.0,10,7,10,0.0,5.0,Some,Graduate degree,Rock and roll,Fly,Healthy,Relative,Health,5.5
USA,AL,2023,12,Male,18,Left-Handed,188.0,28.6,182.8,2,Car,25,0.352,53,Other,893,893,594,599,102,439,28.6,Same length,30,35,Ring finger,February,Winter,No,No,Poultry,Water,Other,7,10,4,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",5,6,15,20,2,5,21,1,15,2,18,4,20,1,Some,Some college,Reggae,Telepathy,Rich,Other,Health,5.199999999999989
USA,AL,2023,12,Female,17,Right-Handed,170.2,24,165.0,1,Car,10,0.338,45,Soccer,500,50,675,450,300,1000,22.5,Right foot,70,70,Same length,September,Summer,Yes,No,Meat,Water,English,7,9,5,Yes - broadband connection,Text messaging,10,15,30,7,0,3,8,1,25,1,25,2,8,1,,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Friend,"Wildlife, animals",5.199999999999989
USA,AL,2023,12,Male,17,Right-Handed,175.2,32,170.0,1,Car,15,.34,44,Baseball/Softball,400,100,0,300,100,900,32,Left foot,9,8,Ring finger,March,Summer,No,No,Meat,Water,History,6,9,4,Yes - other,Cell phone,20,20,8,2,1,5,2,0,10,5,5,0,12,2,Some,Some college,Country,Freeze time,Happy,Religious figure,Education/Youth development,5.199999999999989
USA,MA,2016,12,Male,17,Ambidextrous,180.3,,175.2,1,Car,5,.371,89,Hockey (Ice),50,50,50,50,1000,1000,,,,,Ring finger,May,Winter,No,No,Desserts,Juice,Physical education,8,6,4,,Text messaging,200,350,10,3,1,5,1,3,,10,8,4,80,1,Some,Graduate degree,Rap/Hip hop,Super strength,Rich,Relative,Health,5.100000000000023
USA,FL,2014,12,Male,17,Right-Handed,172.1,25.5,167.0,2,Car,17,0.31,41.0,Running/Jogging,850.0,975.0,600.0,975.0,1000.0,1000.0,25.5,Same length,72.0,75,Ring finger,January,Winter,Yes,No,Meat,Water,English,6,10,5,Yes - other,Text messaging,400,678,50,2,20,2,0,3.0,12.0,14,17,3,0.0,0.0,A lot,Graduate degree,Pop,Freeze time,Rich,Musician or singer,Health,5.099999999999994
USA,FL,2017,6,Female,11,Left-Handed,159.0,25,154.0,2,Bus,7,0.76,48.0,Dancing,3.0,3.0,5.0,2.0,7.0,7.0,24,Right foot,80.0,70,Index finger,July,Summer,No,No,Pizza/Pasta,Water,Languages,9,7,5,Yes - other,Cell phone,30,34,20,3,5,208,7,0.0,4.0,5,8,1,1.0,3.0,Some,Graduate degree,Pop,Invisibility,Healthy,Relative,Health,5.0
USA,MA,2017,8,,13,Right-Handed,156.0,26,151.0,1,Car,20,0.345,48,Martial Arts,583,524,193,471,679,727,26,Same length,72,83,Ring finger,September,Spring,Yes,No,Pizza/Pasta,Water,Physical education,5,6,5,Yes - broadband connection,In person,0,3,1,0.5,2,6,4,13,0,0.3,16,0,0,1.5,Very little,Graduate degree,Techno/Electronic,Freeze time,Happy,Other,Health,5.0
USA,AL,2022,12,Female,18,Right-Handed,167.0,25,162.0,1,Car,20,0.4,50,Walking/Hiking,947,989,877,957,631,717,24,Right foot,71,70,Same length,June,Fall,No,No,Pizza/Pasta,Water,English,6,8,3,Yes - other,Text messaging,100,100,20,6,2,10,1,0,10,20,25,2,15,3,Some,Graduate degree,Other,Telepathy,Happy,Other,International aid,5.0
USA,MA,2016,12,Male,17,Right-Handed,180.0,28,175.0,2,Car,15,,,Other,678,890,1000,567,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
USA,FL,2015,12,Male,17,Ambidextrous,173.0,24,168.0,1 ,Car,40,0.395,51.0,Soccer,1000.0,500.0,1000.0,1000.0,5.0,5.0,24,Same length,8.9,8.7,Index finger,March,Summer,No,No,Meat,Water,English,8,,2,Yes - broadband connection,Text messaging,75,120,5,1,10,2,14,0.0,4.0,5,4,3,1.0,2.0,Some,Graduate degree,Country,Fly,Happy,Other,International aid,5.0
USA,MA,2016,12,Female,17,Right-Handed,163.0,25,158.0,2,Car,12,0.837,51,Soccer,500,600,500,600,700,900,25,Same length,75,7,Index finger,December,Fall,No,No,No favorite,Water,Other,7,9,4,Yes - broadband connection,In person,25,30,2,1,12,5,2,0,1,.5,10,3,0,1.5,Some,Undergraduate degree,Other,Telepathy,Happy,Relative,Health,5.0
USA,FL,2022,11,Female,15,Right-Handed,165.0,,160.0,2,Car,10,0.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
USA,FL,2014,12,Male,17,Right-Handed,172.0,27,167.0,2,Car,25,0.329,47.0,Soccer,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
USA,MA,2023,11,Male,17,Left-Handed,185.0,25,180.0,2,Car,8,.374,50,Lacrosse,,,,,,,20,Right foot,5,4,Index finger,October,Summer,No,No,Meat,Water,Physical education,8,8,4,Yes - dial-up connection,In person,10,50,10,2,2,2,2,2,2,2,2,2,2,2,Very little,Graduate degree,Jazz,Freeze time,Rich,Actor,Environment,5.0
USA,FL,2016,7,Male,12,Right-Handed,157.0,25.8,152.0,1,Car,24,,,Soccer,800.0,700.0,750.0,800.0,500.0,900.0,25.1,Right foot,7.6,7.8,Ring finger,September,Summer,No,No,No favorite,Water,Social studies,9,7,2,Yes - broadband connection,In person,15,50,2,1,5,8,4,2.0,1.0,3,5,8,1.0,1.0,Some,Graduate degree,Pop,Freeze time,Happy,Sports person,Education/Youth development,5.0
USA,MA,2020,8,Female,13,Right-Handed,157.0,22,152.0,2,Car,2,0.731,47,Basketball,1000,1000,500,500,100,1000,22,Same length,80,60,Index finger,June,Summer,No,No,Salads,Water,Social studies,4,3,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,70,0,60,10,48,25,3,84,55,84,20,0,8,A lot,Some college,Pop,Invisibility,Happy,Relative,Other,5.0
USA,MA,2019,11,Female,17,Right-Handed,160.0,22,155.0,2,Car,15,0.309,39,Swimming,1000,1000,796,642,722,722,23,Left foot,6,6.5,Ring finger,February,Fall,Yes,No,Pizza/Pasta,Coffee,English,5,9,3,Yes - broadband connection,Cell phone,32,61,6,2,10,2,1,0,17,2,32,5,0,3,A lot,Graduate degree,Other,Telepathy,Happy,Relative,Other,5.0
USA,AL,2022,12,Female,17,Right-Handed,155.0,24,150.0,2,Car,13,0.311,32,Gymnastics,118,139,21,16,497,834,23,Right foot,7,7,Same length,July,Fall,Yes,No,Seafood,Water,Languages,6,8,4,Yes - broadband connection,Text messaging,100,130,12,4,1,6,1,1,9,5,0,0,15,0,Some,Graduate degree,Gospel,Invisibility,Happy,Coach or club leader,Religious,5.0
USA,MA,2016,12,Male,17,Right-Handed,185.4,30.48,180.4,1,Car,7,.332,,Football (American),1000,500,800,800,800,1000,30.48,Same length,72,74,Ring finger,April,Spring,No,No,Meat,Water,History,8,9,6,Yes - broadband connection,Text messaging,150,175,12,1,3,16,3,2,1,3,3,3,4,1 ,Some,Graduate degree,Rock and roll,Invisibility,Rich,Relative,International aid,5.0
USA,FL,2020,12,Male,17,Right-Handed,188.0,28,183.0,2,Car,25,0.408,42.0,Running/Jogging,1000.0,1000.0,100.0,1000.0,20.0,750.0,28,Right foot,76.0,80,Index finger,October,Summer,No,No,Breads/Sandwiches,Water,Social studies,7,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,100,5,0,20,10,20,2.0,10.0,10,4,2,0.0,2.0,Some,Graduate degree,Other,Fly,Happy,Other,Education/Youth development,5.0
USA,MA,2019,12,Male,17,Right-Handed,187.0,28,182.0,1,Car,5,.36,46,Lacrosse,979,941,765,764,937,980,28,Same length,106,117,Ring finger,April,Summer,No,No,Pizza/Pasta,Water,Physical education,6,6,5,Yes - broadband connection,In person,50,180,60,1,2,8,18,0,20,5,1,5,15,3,Some,Graduate degree,Country,Super strength,Happy,Other,Other,5.0
USA,MA,2019,12,Female,17,Right-Handed,172.0,23,167.0,1,Car,10,0.376,32,Rowing,1000,1000,1000,1000,500,700,23,Same length,72,70,Index finger,April,Summer,No,No,Pizza/Pasta,Water,Computers and technology,5,7,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,5,2,1,7,3,1,1,7,7,2,4,0,5,A lot,Undergraduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Health,5.0
